Genus,Species,Binomial,Peskas_Group
Carangoides ,praeustus,Carangoides  praeustus,Jacks and trevallies
Caranx,ignobilis,Caranx ignobilis,Jacks and trevallies
Caranx,lugubris,Caranx lugubris,Jacks and trevallies
Caranx ,sexfasciatus,Caranx  sexfasciatus,Jacks and trevallies
Caranx ,tille,Caranx  tille,Jacks and trevallies
Decapterus,macarellus,Decapterus macarellus,Mackerel scad
Decapterus ,macrosoma,Decapterus  macrosoma,Mackerel scad
Elagatis ,bipinnulata,Elagatis  bipinnulata,Jacks and trevallies
Ferdauia ,ferdau,Ferdauia  ferdau,Jacks and trevallies
Ferdauia ,orthogrammus,Ferdauia  orthogrammus,Jacks and trevallies
Scomberoides,lysan,Scomberoides lysan,Jacks and trevallies
Scomberoides ,tol,Scomberoides  tol,Jacks and trevallies
Seriola ,dumerili,Seriola  dumerili,Jacks and trevallies
Chirocentrus ,dorab,Chirocentrus  dorab,Wolf herring
Chirocentrus ,nudus,Chirocentrus  nudus,Wolf herring
Sardinella ,albella,Sardinella  albella,Sardines and Herring
Platax ,boersii,Platax  boersii,Batfishes and spadefishes_Peskas group?
Epinephelus,maculatus,Epinephelus maculatus,Groupers
Epinephelus ,radiatus,Epinephelus  radiatus,Groupers
Variola ,albimarginata,Variola  albimarginata,Groupers
Plectorhinchus ,chrysotaenia,Plectorhinchus  chrysotaenia,Sweetlips
Plectorhinchus ,vittatus,Plectorhinchus  vittatus,Sweetlips
Pomadasys ,argenteus,Pomadasys  argenteus,Javelin/Grunt
Pomadasys ,kaakan,Pomadasys  kaakan,Javelin/Grunt
Neoniphon ,sammara,Neoniphon  sammara,Soldierfishes
Aurigequula ,fasciata,Aurigequula  fasciata,Ponyfishes
Gazza ,minuta,Gazza  minuta,Ponyfishes
Gymnocranius ,grandoculis,Gymnocranius  grandoculis,Emperors
Lethrinus ,atkinsoni,Lethrinus  atkinsoni,Emperors
Lethrinus ,erythracanthus,Lethrinus  erythracanthus,Emperors
Lethrinus ,obsoletus,Lethrinus  obsoletus,Emperors
Lethrinus ,reticulatus,Lethrinus  reticulatus,Emperors
Monotaxis, grandoculis,Monotaxis  grandoculis,Emperors
Mulloidichthys,vanicolensis,Mulloidichthys vanicolensis,Goatfishes
Parupeneus ,heptacanthus,Parupeneus  heptacanthus,Goatfishes
Parupeneus ,indicus,Parupeneus  indicus,Goatfishes
Upeneus ,vittatus,Upeneus  vittatus,Goatfishes
Scolopsis ,lineata,Scolopsis  lineata,Breams
Scolopsis ,vosmeri,Scolopsis  vosmeri,Breams
Pomacanthus ,annularis,Pomacanthus  annularis,Sergeant
Priacanthus ,sagittarius,Priacanthus  sagittarius,Moontail bullseye
Pristigenys ,niphonia,Pristigenys  niphonia,Moontail bullseye
Psettodes ,erumei,Psettodes  erumei,Flatfishes_Peskas group?
Scarus ,quoyi,Scarus  quoyi,Parrot fishes
Acanthocybium ,solandri,Acanthocybium  solandri,Tuna/Bonito/Other Mackerel
Katsuwonus ,pelamis,Katsuwonus  pelamis,Tuna/Bonito/Other Mackerel
Rastrelliger,faughni,Rastrelliger faughni,Short bodied mackerel
Rastrelliger ,kanagurta,Rastrelliger  kanagurta,Short bodied mackerel
Siganus ,fuscescens,Siganus  fuscescens,Spinefoot
Siganus ,spinus,Siganus  spinus,Spinefoot
Sphyrna, lewini,Sphyrna  lewini,Sharks_Peskas group?
Carcharhinus ,falciformis,Carcharhinus  falciformis,Sharks_Peskas group?
Hemitrygon, parvonigra,Hemitrygon  parvonigra,Stingrays_Peskas group?
Centrophorus,moluccensis,Centrophorus moluccensis,Sharks_Peskas group?
Rhina ,ancylostoma,Rhina  ancylostoma,Wedgefishes
"Acanthurus	", xanthopterus,"Acanthurus	  xanthopterus",Surgeonfishes
Trachinotus ,blochii,Trachinotus  blochii,Jacks and trevallies
Sardinella ,gibbosa,Sardinella  gibbosa,Sardines and Herring
Sardinella ,melanura,Sardinella  melanura,Sardines and Herring
Sardinella ,Lemuru,Sardinella  Lemuru,Sardines and Herring
Amblygaster,leiogaster,Amblygaster leiogaster,Sardines and Herring
Herklotsichthys ,quadrimaculatus,Herklotsichthys  quadrimaculatus,Sardines and Herring
Dussumieria ,elopsoides,Dussumieria  elopsoides,Sardines and Herring
Myripristis,botche,Myripristis botche,Soldierfishes
Melichthys,niger,Melichthys niger,Triggerfishes
Gerres ,subfasciatus,Gerres  subfasciatus,Silwer belly roach_Peskas group?
Sphyraena,barracuda,Sphyraena barracuda,Barracuda_Peskas group?
Sphyraena ,qenie,Sphyraena  qenie,Barracuda_Peskas group?
Caesio,caerulaurea,Caesio caerulaurea,Fusilier
Caesio,cuning,Caesio cuning,Fusilier
Caesio,xanthonota,Caesio xanthonota,Fusilier
Cromileptes ,altivelis,Cromileptes  altivelis,Groupers
Epinephelus,bleekeri,Epinephelus bleekeri,Groupers
Epinephelus,macrospilos,Epinephelus macrospilos,Groupers
Epinephelus,melanostigma,Epinephelus melanostigma,Groupers
Epinephelus,polyphekadion,Epinephelus polyphekadion,Groupers
Plectropomus,areolatus,Plectropomus areolatus,Groupers
Plectropomus,laevis,Plectropomus laevis,Groupers
Plectropomus,leopardus,Plectropomus leopardus,Groupers
Plectropomus,maculatus,Plectropomus maculatus,Groupers
Plectropomus,oligocanthus,Plectropomus oligocanthus,Groupers
Variola ,louti,Variola  louti,Groupers
Siganus ,canaliculatus,Siganus  canaliculatus,Spinefoot
Siganus ,javus,Siganus  javus,Spinefoot
Siganus ,puellus,Siganus  puellus,Spinefoot
Siganus ,vermiculatus,Siganus  vermiculatus,Spinefoot
Siganus ,virgatus,Siganus  virgatus,Spinefoot
Megalops ,cyprinoides,Megalops  cyprinoides,Tarpon?
Gnathodon ,speciosus,Gnathodon  speciosus,Jacks and trevallies
Euthynnus ,affinis,Euthynnus  affinis,Tuna/Bonito/Other Mackerel
Lethrinus ,amboinensis,Lethrinus  amboinensis,Emperors
Lethrinus ,harak,Lethrinus  harak,Emperors
Lethrinus,lentjan,Lethrinus lentjan,Emperors
