Title:,"Time Series, Area-Averaged of Chlorophyll a concentration (water only) 8-daily 4 km [MODIS-Aqua (8-daily)"
09/11/19 00:00,0.252996594
17/11/19 00:00,0.312290519
25/11/19 00:00,0.252520174
03/12/19 00:00,0.295542151
11/12/19 00:00,0.186035916
19/12/19 00:00,0.286037713
27/12/19 00:00,0.356390506
01/01/20 00:00,0.146411493
09/01/20 00:00,0.171142325
17/01/20 00:00,0.227778077
25/01/20 00:00,0.219385237
02/02/20 00:00,0.127718747
10/02/20 00:00,0.281412482
18/02/20 00:00,0.336722821
26/02/20 00:00,0.370283157
05/03/20 00:00,0.236683115
13/03/20 00:00,0.247222334
21/03/20 00:00,0.349803418
29/03/20 00:00,0.811854303
06/04/20 00:00,0.270478666
14/04/20 00:00,0.242721781
22/04/20 00:00,0.30666256
30/04/20 00:00,0.430361986
08/05/20 00:00,0.349473298
16/05/20 00:00,0.486990064
24/05/20 00:00,0.608550429
01/06/20 00:00,0.47750774
09/06/20 00:00,0.416941494
17/06/20 00:00,0.321844965
25/06/20 00:00,0.348780096
03/07/20 00:00,0.347457439
11/07/20 00:00,0.418379337
19/07/20 00:00,0.504662454
27/07/20 00:00,0.656774044
04/08/20 00:00,0.388468087
12/08/20 00:00,0.374451995
20/08/20 00:00,-32767
28/08/20 00:00,0.331108779
05/09/20 00:00,0.336265683
13/09/20 00:00,0.340390623
21/09/20 00:00,0.40712896
29/09/20 00:00,0.218498737
07/10/20 00:00,0.200380281
15/10/20 00:00,0.211143285
23/10/20 00:00,0.3060444
31/10/20 00:00,0.394322962
08/11/20 00:00,0.216552734
16/11/20 00:00,0.286358625
24/11/20 00:00,0.146551803
02/12/20 00:00,0.293360502
10/12/20 00:00,0.256536961
18/12/20 00:00,0.116739921
26/12/20 00:00,0.145837471
01/01/21 00:00,0.187646598
09/01/21 00:00,0.144121945
17/01/21 00:00,0.157852694
25/01/21 00:00,0.388852358
02/02/21 00:00,-32767
10/02/21 00:00,0.299421936
18/02/21 00:00,0.195609927
26/02/21 00:00,0.243579432
06/03/21 00:00,0.215742707
14/03/21 00:00,0.191332266
22/03/21 00:00,0.222447887
30/03/21 00:00,0.389329076
07/04/21 00:00,0.627933741
15/04/21 00:00,0.227832928
23/04/21 00:00,0.199664727
01/05/21 00:00,0.266566515
09/05/21 00:00,0.255431473
17/05/21 00:00,0.219536036
25/05/21 00:00,0.233880624
02/06/21 00:00,0.288837641
10/06/21 00:00,0.254766971
18/06/21 00:00,0.264190555
26/06/21 00:00,0.358593404
04/07/21 00:00,0.331328988
12/07/21 00:00,0.343926638
20/07/21 00:00,0.330297798
28/07/21 00:00,0.415696651
05/08/21 00:00,0.342777312
13/08/21 00:00,0.303885669
21/08/21 00:00,0.291877329
29/08/21 00:00,-32767
06/09/21 00:00,0.272833169
14/09/21 00:00,0.303940028
22/09/21 00:00,0.308456481
30/09/21 00:00,0.256140977
08/10/21 00:00,0.198195741
16/10/21 00:00,0.20688799
24/10/21 00:00,0.216185063
01/11/21 00:00,0.190857336
09/11/21 00:00,0.210927263
17/11/21 00:00,0.171590626
25/11/21 00:00,0.167289823
03/12/21 00:00,0.184984609
11/12/21 00:00,0.167782798
19/12/21 00:00,0.119192563
27/12/21 00:00,0.076966539
01/01/22 00:00,0.560303986
09/01/22 00:00,0.232163996
17/01/22 00:00,0.400010794
25/01/22 00:00,0.130512223
02/02/22 00:00,0.395221204
10/02/22 00:00,0.235253796
18/02/22 00:00,0.176014379
26/02/22 00:00,1.15786076
06/03/22 00:00,0.304786712
14/03/22 00:00,0.218904093
22/03/22 00:00,0.272031486
30/03/22 00:00,0.19710575
07/04/22 00:00,-32767
15/04/22 00:00,0.248418286
23/04/22 00:00,0.220583245
01/05/22 00:00,0.205471024
09/05/22 00:00,0.185684621
17/05/22 00:00,0.321626425
25/05/22 00:00,0.24294439
02/06/22 00:00,0.259741783
10/06/22 00:00,0.257855862
18/06/22 00:00,0.360100597
26/06/22 00:00,0.226168275
04/07/22 00:00,0.287749738
12/07/22 00:00,0.343662769
20/07/22 00:00,0.476964593
28/07/22 00:00,0.357516378
05/08/22 00:00,0.409353495
13/08/22 00:00,0.345932841
21/08/22 00:00,0.342937946
29/08/22 00:00,0.377636403
06/09/22 00:00,0.291354686
14/09/22 00:00,0.446776778
22/09/22 00:00,0.225899607
30/09/22 00:00,0.233539
08/10/22 00:00,0.192434594
16/10/22 00:00,0.179994136
24/10/22 00:00,0.184145406
01/11/22 00:00,0.162735865
09/11/22 00:00,0.217058599
17/11/22 00:00,0.14496839
25/11/22 00:00,0.195725709
03/12/22 00:00,0.164094612
11/12/22 00:00,0.152889222
19/12/22 00:00,0.212745011
27/12/22 00:00,-32767
01/01/23 00:00,0.441782445
09/01/23 00:00,0.314491749
17/01/23 00:00,0.210085168
25/01/23 00:00,0.214317054
02/02/23 00:00,0.173546761
10/02/23 00:00,0.125918835
18/02/23 00:00,0.137022868
26/02/23 00:00,0.378474653
06/03/23 00:00,0.345206052
14/03/23 00:00,0.201012552
22/03/23 00:00,0.268219203
30/03/23 00:00,0.263545692
07/04/23 00:00,0.242433727
15/04/23 00:00,0.227774769
23/04/23 00:00,0.245695606
01/05/23 00:00,0.199959323
09/05/23 00:00,0.253314078
17/05/23 00:00,0.274578631
25/05/23 00:00,0.332345188
02/06/23 00:00,0.355523348
10/06/23 00:00,0.380129606
18/06/23 00:00,0.289925396
26/06/23 00:00,0.471785069
04/07/23 00:00,0.412971497
12/07/23 00:00,0.307858169
20/07/23 00:00,0.270237386
28/07/23 00:00,0.371916443
05/08/23 00:00,0.688025534
13/08/23 00:00,0.378592104
21/08/23 00:00,0.350543588
29/08/23 00:00,0.422364861
06/09/23 00:00,0.37215969
14/09/23 00:00,0.461045504
22/09/23 00:00,0.476570845
30/09/23 00:00,0.328113139
08/10/23 00:00,0.356485158
16/10/23 00:00,0.694052279
24/10/23 00:00,0.334448218
01/11/23 00:00,0.58217293
09/11/23 00:00,0.327170253
17/11/23 00:00,0.237804353
25/11/23 00:00,0.287176818
03/12/23 00:00,0.322268039
11/12/23 00:00,0.230599731
19/12/23 00:00,0.196007088
27/12/23 00:00,0.24487637
01/01/24 00:00,0.175791815
09/01/24 00:00,-32767
17/01/24 00:00,0.276564807
25/01/24 00:00,0.154475704
02/02/24 00:00,0.240922481
10/02/24 00:00,0.294663519
18/02/24 00:00,0.293427706
26/02/24 00:00,0.239152864
05/03/24 00:00,-32767
13/03/24 00:00,0.151847035
21/03/24 00:00,0.238732964
29/03/24 00:00,0.209828869
06/04/24 00:00,0.211836919
14/04/24 00:00,0.314792007
22/04/24 00:00,-32767
30/04/24 00:00,0.251312226
08/05/24 00:00,0.474608064
16/05/24 00:00,0.300823957
24/05/24 00:00,0.466948062
01/06/24 00:00,0.323808789
09/06/24 00:00,0.720429361
17/06/24 00:00,0.418815285
25/06/24 00:00,0.2743527
03/07/24 00:00,0.322481215
11/07/24 00:00,0.290569127
19/07/24 00:00,0.301864684
27/07/24 00:00,0.556742668
04/08/24 00:00,0.486155808
12/08/24 00:00,0.641316891
20/08/24 00:00,0.64001292
28/08/24 00:00,0.877319992
05/09/24 00:00,0.832899213
13/09/24 00:00,0.338440061
21/09/24 00:00,0.441921949
29/09/24 00:00,0.24163647
07/10/24 00:00,1.16089702
15/10/24 00:00,0.336214274
23/10/24 00:00,1.38872278
31/10/24 00:00,0.352065206
08/11/24 00:00,0.217050016
16/11/24 00:00,0.327183574
24/11/24 00:00,0.247057676
02/12/24 00:00,0.204122484
10/12/24 00:00,0.155938089
18/12/24 00:00,0.193561912
26/12/24 00:00,-32767
